month,year,patients
august,2015,25538
september,2015,25352
october,2015,26070
november,2015,26855
december,2015,25932
january,2016,26146
february,2016,27562
march,2016,27243
april,2016,26629
may,2016,27528
june,2016,27057
july,2016,25395
august,2016,27972
september,2016,26679
october,2016,27016
november,2016,28049
december,2016,27938
january,2017,29106
february,2017,28434
march,2017,28274
april,2017,30802
may,2017,29948
june,2017,30574
july,2017,29824
august,2017,30904
september,2017,31822
october,2017,31214
november,2017,32849
december,2017,32452
january,2018,33109
february,2018,33248
march,2018,35742
april,2018,32937
may,2018,30897
june,2018,31153
july,2018,28418
august,2018,28248
september,2018,25573
october,2018,24825
november,2018,24586
december,2018,23683
january,2019,22118
february,2019,20783
march,2019,19501
april,2019,19119
may,2019,19501
june,2019,19686
july,2019,20375
august,2019,22281
september,2019,19411
october,2019,20334
november,2019,20130
december,2019,20094
january,2020,20703
february,2020,20960
march,2020,21004
april,2020,20275
may,2020,20494
june,2020,20759
july,2020,21025
august,2020,20426
september,2020,20548
october,2020,20170
november,2020,20134
december,2020,20963
january,2021,21188
february,2021,20599
march,2021,21044
april,2021,20220
may,2021,19269
june,2021,19103
july,2021,18977
august,2021,17844
september,2021,17843
october,2021,15870
november,2021,16459
december,2021,15665
january,2022,16747
february,2022,14549
march,2022,13557
april,2022,14028
may,2022,14251
june,2022,14592
july,2022,14264
august,2022,14300
september,2022,14467
october,2022,14880
november,2022,14851
december,2022,14760
january,2023,15094
february,2023,15102
march,2023,15401
april,2023,15113
may,2023,15293
june,2023,15373
july,2023,15216
august,2023,15722
september,2023,15809
october,2023,15843
november,2023,15880
december,2023,15690
january,2024,16023
february,2024,16137
march,2024,16118
