month,year,patients
august,2015,27684
september,2015,27503
october,2015,28304
november,2015,29177
december,2015,28196
january,2016,28448
february,2016,30011
march,2016,29684
april,2016,29034
may,2016,30036
june,2016,29542
july,2016,29792
august,2016,30581
september,2016,29185
october,2016,29573
november,2016,30722
december,2016,30620
january,2017,31918
february,2017,31199
march,2017,31042
april,2017,32025
may,2017,29440
june,2017,28370
july,2017,26073
august,2017,25401
september,2017,24534
october,2017,22513
november,2017,22101
december,2017,20300
january,2018,19183
february,2018,17767
march,2018,17529
april,2018,17620
may,2018,18011
june,2018,19771
july,2018,19629
august,2018,21230
september,2018,20916
october,2018,22108
november,2018,23857
december,2018,25068
january,2019,25618
february,2019,26270
march,2019,26988
april,2019,26170
may,2019,26941
june,2019,27303
july,2019,28720
august,2019,28277
september,2019,26651
october,2019,28565
november,2019,28112
december,2019,28011
january,2020,29269
february,2020,29787
march,2020,29855
april,2020,21995
may,2020,29031
june,2020,29724
july,2020,30427
august,2020,29265
september,2020,29655
october,2020,28956
november,2020,29001
december,2020,30946
january,2021,31573
february,2021,30402
march,2021,31519
april,2021,30856
may,2021,29863
june,2021,30709
july,2021,31705
august,2021,30202
september,2021,31578
october,2021,27724
november,2021,30756
december,2021,30021
january,2022,27643
february,2022,28133
march,2022,26180
april,2022,27967
may,2022,31783
june,2022,37103
july,2022,29094
august,2022,30449
september,2022,29270
october,2022,31917
november,2022,30928
december,2022,29440
january,2023,31421
february,2023,30735
march,2023,32413
april,2023,29254
may,2023,29848
june,2023,29640
july,2023,27604
august,2023,30704
september,2023,30546
october,2023,29991
november,2023,29468
december,2023,27266
january,2024,28953
february,2024,29001
march,2024,28096
