month,year,patients
august,2015,11679
september,2015,11586
october,2015,11989
november,2015,12429
december,2015,11928
january,2016,12053
february,2016,12845
march,2016,12675
april,2016,12340
may,2016,12848
june,2016,12590
july,2016,12713
august,2016,13114
september,2016,12390
october,2016,12584
november,2016,13171
december,2016,13112
january,2017,13778
february,2017,13400
march,2017,13312
april,2017,15877
may,2017,16402
june,2017,17857
july,2017,18309
august,2017,20100
september,2017,21812
october,2017,22251
november,2017,24628
december,2017,25198
january,2018,26731
february,2018,27763
march,2018,31224
april,2018,29450
may,2018,28413
june,2018,29947
july,2018,28042
august,2018,29172
september,2018,27175
october,2018,27608
november,2018,28805
december,2018,29150
january,2019,28546
february,2019,28184
march,2019,27910
april,2019,27676
may,2019,29115
june,2019,30134
july,2019,32347
august,2019,32481
september,2019,31204
october,2019,34072
november,2019,34142
december,2019,34620
january,2020,37462
february,2020,39218
march,2020,39838
april,2020,36072
may,2020,37531
june,2020,39260
july,2020,41018
august,2020,37884
september,2020,38823
october,2020,36891
november,2020,36915
december,2020,41975
january,2021,43557
february,2021,40359
march,2021,43245
april,2021,39173
may,2021,34505
june,2021,34171
july,2021,33860
august,2021,28490
september,2021,28555
october,2021,19938
november,2021,22254
december,2021,18859
january,2022,16020
february,2022,13942
march,2022,10056
april,2022,11285
may,2022,11698
june,2022,12487
july,2022,11131
august,2022,10948
september,2022,11176
october,2022,12174
november,2022,11786
december,2022,11208
january,2023,11950
february,2023,11678
march,2023,12304
april,2023,11160
may,2023,11444
june,2023,7423
july,2023,10690
august,2023,11951
september,2023,11949
october,2023,11792
november,2023,11645
december,2023,10829
january,2024,11557
february,2024,11635
march,2024,11329
