month,year,patients
august,2015,132957
september,2015,130761
october,2015,136045
november,2015,141877
december,2015,133588
january,2016,134698
february,2016,145752
march,2016,142456
april,2016,136717
may,2016,145959
june,2016,138952
july,2016,140039
august,2016,147510
september,2016,135744
october,2016,135982
november,2016,143870
december,2016,142293
january,2017,151300
february,2017,145075
march,2017,143096
april,2017,164865
may,2017,155254
june,2017,159602
july,2017,152461
august,2017,160602
september,2017,167420
october,2017,161394
november,2017,174265
december,2017,170003
january,2018,174629
february,2018,174880
march,2018,195158
april,2018,175808
may,2018,162912
june,2018,169722
july,2018,150782
august,2018,154005
september,2018,135418
october,2018,133644
november,2018,136415
december,2018,133383
january,2019,124293
february,2019,117628
march,2019,111332
april,2019,108815
may,2019,111760
june,2019,113304
july,2019,118490
august,2019,117254
september,2019,114711
october,2019,118842
november,2019,117560
december,2019,117495
january,2020,122174
february,2020,124273
march,2020,124806
april,2020,119536
may,2020,121284
june,2020,123374
july,2020,125480
august,2020,121155
september,2020,122186
october,2020,119489
november,2020,119340
december,2020,125653
january,2021,127463
february,2021,123192
march,2021,126646
april,2021,119828
may,2021,112123
june,2021,110155
july,2021,108390
august,2021,99495
september,2021,98500
october,2021,84106
november,2021,86958
december,2021,80590
january,2022,74492
february,2022,71155
march,2022,59475
april,2022,65687
may,2022,67987
june,2022,72136
july,2022,65800
august,2022,65182
september,2022,66592
october,2022,71827
november,2022,70196
december,2022,67600
january,2023,71609
february,2023,70536
march,2023,73991
april,2023,68448
may,2023,70135
june,2023,70263
july,2023,66762
august,2023,73470
september,2023,73712
october,2023,73146
november,2023,72630
december,2023,68630
january,2024,72661
february,2024,73309
march,2024,71945
