month,year,patients
august,2015,20261
september,2015,20066
october,2015,20731
november,2015,21460
december,2015,20563
january,2016,20746
february,2016,22078
march,2016,21755
april,2016,17518
may,2016,21989
june,2016,21520
july,2016,21701
august,2016,22356
september,2016,21096
october,2016,21399
november,2016,22368
december,2016,22241
january,2017,23342
february,2017,22675
march,2017,22500
april,2017,23553
may,2017,21480
june,2017,20732
july,2017,18911
august,2017,18513
september,2017,17944
october,2017,16364
november,2017,16194
december,2017,14807
january,2018,14020
february,2018,12970
march,2018,12955
april,2018,12310
may,2018,11965
june,2018,12705
july,2018,11985
august,2018,12561
september,2018,11790
october,2018,12067
november,2018,12684
december,2018,12932
january,2019,12803
february,2019,12662
march,2019,12586
april,2019,11904
may,2019,12464
june,2019,12705
july,2019,13772
august,2019,13382
september,2019,12066
october,2019,13524
november,2019,13125
december,2019,13003
january,2020,13949
february,2020,14312
march,2020,14323
april,2020,16308
may,2020,13598
june,2020,14105
july,2020,14618
august,2020,13666
september,2020,13933
october,2020,13345
november,2020,13340
december,2020,14831
january,2021,15286
february,2021,14326
march,2021,15166
april,2021,14202
may,2021,13024
june,2021,13201
july,2021,13435
august,2021,11964
september,2021,12393
october,2021,9561
november,2021,10943
december,2021,10064
january,2022,9386
february,2022,9078
march,2022,7697
april,2022,10034
may,2022,10246
june,2022,11374
july,2022,8399
august,2022,7180
september,2022,8443
october,2022,9077
november,2022,8842
december,2022,8487
january,2023,9096
february,2023,8824
march,2023,9455
april,2023,8256
may,2023,8489
june,2023,8417
july,2023,7647
august,2023,8838
september,2023,8784
october,2023,8580
november,2023,8388
december,2023,7554
january,2024,8205
february,2024,8230
march,2024,7893
