month,year,patients
august,2015,0
september,2015,0
october,2015,0
november,2015,0
december,2015,0
january,2016,0
february,2016,0
march,2016,0
april,2016,0
may,2016,0
june,2016,0
july,2016,0
august,2016,0
september,2016,0
october,2016,0
november,2016,0
december,2016,0
january,2017,0
february,2017,0
march,2017,0
april,2017,44
may,2017,81
june,2017,123
july,2017,152
august,2017,199
september,2017,247
october,2017,271
november,2017,335
december,2017,359
january,2018,405
february,2018,438
march,2018,539
april,2018,576
may,2018,625
june,2018,774
july,2018,776
august,2018,920
september,2018,896
october,2018,1005
november,2018,1171
december,2018,1289
january,2019,1337
february,2019,1402
march,2019,1471
april,2019,1502
may,2019,1687
june,2019,1836
july,2019,2113
august,2019,2173
september,2019,2064
october,2019,2432
november,2019,2473
december,2019,2560
january,2020,2864
february,2020,3057
march,2020,3177
april,2020,2910
may,2020,2991
june,2020,3761
july,2020,3189
august,2020,2969
september,2020,3015
october,2020,2876
november,2020,2863
december,2020,3170
january,2021,3255
february,2021,3038
march,2021,3203
april,2021,3120
may,2021,2980
june,2021,3150
july,2021,3347
august,2021,3117
september,2021,3383
october,2021,2739
november,2021,3297
december,2021,3195
january,2022,3148
february,2022,3225
march,2022,2905
april,2022,3204
may,2022,3312
june,2022,3511
july,2022,2886
august,2022,3165
september,2022,3229
october,2022,3479
november,2022,3397
december,2022,3267
january,2023,3458
february,2023,3401
march,2023,3565
april,2023,3286
may,2023,3356
june,2023,3351
july,2023,3173
august,2023,3481
september,2023,3481
october,2023,3442
november,2023,3407
december,2023,3209
january,2024,3386
february,2024,3406
march,2024,3332
