month,year,patients
august,2015,3029
september,2015,2964
october,2015,3111
november,2015,3274
december,2015,3035
january,2016,3063
february,2016,3375
march,2016,3278
april,2016,0
may,2016,3301
june,2016,3168
july,2016,3196
august,2016,3340
september,2016,3011
october,2016,3068
november,2016,3291
december,2016,3242
january,2017,3498
february,2017,3314
march,2017,3254
april,2017,3629
may,2017,3225
june,2017,3153
july,2017,2807
august,2017,2824
september,2017,2798
october,2017,2510
november,2017,2592
december,2017,2351
january,2018,2270
february,2018,2119
march,2018,2256
april,2018,2129
may,2018,2080
june,2018,2354
july,2018,2185
august,2018,2417
september,2018,2217
october,2018,2355
november,2018,2613
december,2018,2752
january,2019,2742
february,2019,2769
march,2019,2807
april,2019,2671
may,2019,2812
june,2019,2883
july,2019,3142
august,2019,3070
september,2019,2783
october,2019,3135
november,2019,3059
december,2019,3045
january,2020,3283
february,2020,3385
march,2020,7540
april,2020,3137
may,2020,3245
june,2020,3373
july,2020,3502
august,2020,3279
september,2020,3351
october,2020,3216
november,2020,3220
december,2020,3586
january,2021,3703
february,2021,3477
march,2021,3687
april,2021,3517
may,2021,3288
june,2021,3402
july,2021,3539
august,2021,3223
september,2021,3421
october,2021,2709
november,2021,3186
december,2021,3017
january,2022,4400
february,2022,4467
march,2022,2553
april,2022,2807
may,2022,4401
june,2022,3054
july,2022,1388
august,2022,2735
september,2022,2781
october,2022,2987
november,2022,2906
december,2022,2786
january,2023,2939
february,2023,2882
march,2023,3010
april,2023,2759
may,2023,2801
june,2023,2780
july,2023,2617
august,2023,2855
september,2023,2838
october,2023,2790
november,2023,2745
december,2023,2570
january,2024,2696
february,2024,2696
march,2024,2621
