month,year,patients
august,2015,14708
september,2015,14550
october,2015,15100
november,2015,15703
december,2015,14963
january,2016,15116
february,2016,16220
march,2016,15953
april,2016,12340
may,2016,16149
june,2016,15758
july,2016,15909
august,2016,16454
september,2016,15401
october,2016,15652
november,2016,16462
december,2016,16354
january,2017,17276
february,2017,16714
march,2017,16566
april,2017,19550
may,2017,19708
june,2017,21133
july,2017,21268
august,2017,23123
september,2017,24857
october,2017,25032
november,2017,27555
december,2017,27908
january,2018,29406
february,2018,30320
march,2018,34019
april,2018,32155
may,2018,31118
june,2018,33075
july,2018,31003
august,2018,32509
september,2018,30288
october,2018,30968
november,2018,32589
december,2018,33191
january,2019,32625
february,2019,32355
march,2019,32188
april,2019,31849
may,2019,33614
june,2019,34853
july,2019,37602
august,2019,37724
september,2019,36051
october,2019,39639
november,2019,39674
december,2019,40225
january,2020,43609
february,2020,45660
march,2020,50555
april,2020,42119
may,2020,43767
june,2020,46394
july,2020,47709
august,2020,44132
september,2020,45189
october,2020,42983
november,2020,42998
december,2020,48731
january,2021,50515
february,2021,46874
march,2021,50135
april,2021,45810
may,2021,40773
june,2021,40723
july,2021,40746
august,2021,34830
september,2021,35359
october,2021,25386
november,2021,28737
december,2021,25071
january,2022,23568
february,2022,21634
march,2022,15514
april,2022,17296
may,2022,19411
june,2022,19052
july,2022,15405
august,2022,16848
september,2022,17186
october,2022,18640
november,2022,18089
december,2022,17261
january,2023,18347
february,2023,17961
march,2023,18879
april,2023,17205
may,2023,17601
june,2023,13554
july,2023,16480
august,2023,18287
september,2023,18268
october,2023,18024
november,2023,17797
december,2023,16608
january,2024,17639
february,2024,17737
march,2024,17282
