date,consumption
2015-08-01,766140
2015-09-01,760560
2015-10-01,782100
2015-11-01,805650
2015-12-01,777960
2016-01-01,784380
2016-02-01,826860
2016-03-01,817290
2016-04-01,798870
2016-05-01,825840
2016-06-01,811710
2016-07-01,761850
2016-08-01,839160
2016-09-01,800370
2016-10-01,810480
2016-11-01,841470
2016-12-01,838140
2017-01-01,873180
2017-02-01,853020
2017-03-01,848220
2017-04-01,924060
2017-05-01,898440
2017-06-01,917220
2017-07-01,894720
2017-08-01,927120
2017-09-01,954660
2017-10-01,936420
2017-11-01,985470
2017-12-01,973560
2018-01-01,993270
2018-02-01,997440
2018-03-01,1072260
2018-04-01,988110
2018-05-01,926910
2018-06-01,934590
2018-07-01,852540
2018-08-01,847440
2018-09-01,767190
2018-10-01,744750
2018-11-01,737580
2018-12-01,710490
2019-01-01,663540
2019-02-01,623490
2019-03-01,585030
2019-04-01,573570
2019-05-01,585030
2019-06-01,590580
2019-07-01,611250
2019-08-01,668430
2019-09-01,582330
2019-10-01,610020
2019-11-01,603900
2019-12-01,602820
2020-01-01,621090
2020-02-01,628800
2020-03-01,630120
2020-04-01,608250
2020-05-01,614820
2020-06-01,622770
2020-07-01,630750
2020-08-01,612780
2020-09-01,616440
2020-10-01,605100
2020-11-01,604020
2020-12-01,628890
2021-01-01,635640
2021-02-01,617970
2021-03-01,631320
2021-04-01,606600
2021-05-01,578070
2021-06-01,573090
2021-07-01,569310
2021-08-01,535320
2021-09-01,535290
2021-10-01,476100
2021-11-01,493770
2021-12-01,469950
2022-01-01,502410
2022-02-01,436470
2022-03-01,406710
2022-04-01,420840
2022-05-01,427530
2022-06-01,437760
2022-07-01,427920
2022-08-01,429000
2022-09-01,434010
2022-10-01,446400
2022-11-01,445530
2022-12-01,442800
2023-01-01,452820
2023-02-01,453060
2023-03-01,462030
2023-04-01,453390
2023-05-01,458790
2023-06-01,461190
2023-07-01,456480
2023-08-01,471660
2023-09-01,474270
2023-10-01,475290
2023-11-01,476400
2023-12-01,470700
2024-01-01,480690
2024-02-01,484110
2024-03-01,483540
