date,consumption
2015-08-01,3820392
2015-09-01,3795414
2015-10-01,3905952
2015-11-01,4026426
2015-12-01,3891048
2016-01-01,3925824
2016-02-01,4141518
2016-03-01,4096392
2016-04-01,4006692
2016-05-01,4144968
2016-06-01,4076796
2016-07-01,4111296
2016-08-01,4220178
2016-09-01,4027530
2016-10-01,4081074
2016-11-01,4239636
2016-12-01,4225560
2017-01-01,4404684
2017-02-01,4305462
2017-03-01,4283796
2017-04-01,4419450
2017-05-01,4062720
2017-06-01,3915060
2017-07-01,3598074
2017-08-01,3505338
2017-09-01,3385692
2017-10-01,3106794
2017-11-01,3049938
2017-12-01,2801400
2018-01-01,2647254
2018-02-01,2451846
2018-03-01,2419002
2018-04-01,2431560
2018-05-01,2485518
2018-06-01,2728398
2018-07-01,2708802
2018-08-01,2929740
2018-09-01,2886408
2018-10-01,3050904
2018-11-01,3292266
2018-12-01,3459384
2019-01-01,3535284
2019-02-01,3625260
2019-03-01,3724344
2019-04-01,3611460
2019-05-01,3717858
2019-06-01,3767814
2019-07-01,3963360
2019-08-01,3902226
2019-09-01,3677838
2019-10-01,3941970
2019-11-01,3879456
2019-12-01,3865518
2020-01-01,4039122
2020-02-01,4110606
2020-03-01,4119990
2020-04-01,3035310
2020-05-01,4006278
2020-06-01,4101912
2020-07-01,4198926
2020-08-01,4038570
2020-09-01,4092390
2020-10-01,3995928
2020-11-01,4002138
2020-12-01,4270548
2021-01-01,4357074
2021-02-01,4195476
2021-03-01,4349622
2021-04-01,4258128
2021-05-01,4121094
2021-06-01,4237842
2021-07-01,4375290
2021-08-01,4167876
2021-09-01,4357764
2021-10-01,3825912
2021-11-01,4244328
2021-12-01,4142898
2022-01-01,3814734
2022-02-01,3882354
2022-03-01,3612840
2022-04-01,1929723
2022-05-01,2193027
2022-06-01,2560107
2022-07-01,2007486
2022-08-01,2100981
2022-09-01,2019630
2022-10-01,2202273
2022-11-01,2134032
2022-12-01,2031360
2023-01-01,2168049
2023-02-01,2120715
2023-03-01,2236497
2023-04-01,2018526
2023-05-01,2059512
2023-06-01,2045160
2023-07-01,1904676
2023-08-01,2118576
2023-09-01,2107674
2023-10-01,2069379
2023-11-01,2033292
2023-12-01,1881354
2024-01-01,1997757
2024-02-01,2001069
2024-03-01,1938624
