date,consumption
2015-08-01,350370
2015-09-01,347580
2015-10-01,359670
2015-11-01,372870
2015-12-01,357840
2016-01-01,361590
2016-02-01,385350
2016-03-01,380250
2016-04-01,370200
2016-05-01,385440
2016-06-01,377700
2016-07-01,381390
2016-08-01,393420
2016-09-01,371700
2016-10-01,377520
2016-11-01,395130
2016-12-01,393360
2017-01-01,413340
2017-02-01,402000
2017-03-01,399360
2017-04-01,476310
2017-05-01,492060
2017-06-01,535710
2017-07-01,549270
2017-08-01,603000
2017-09-01,654360
2017-10-01,667530
2017-11-01,738840
2017-12-01,755940
2018-01-01,801930
2018-02-01,832890
2018-03-01,936720
2018-04-01,883500
2018-05-01,852390
2018-06-01,898410
2018-07-01,841260
2018-08-01,875160
2018-09-01,815250
2018-10-01,828240
2018-11-01,864150
2018-12-01,874500
2019-01-01,856380
2019-02-01,845520
2019-03-01,837300
2019-04-01,830280
2019-05-01,873450
2019-06-01,904020
2019-07-01,970410
2019-08-01,974430
2019-09-01,936120
2019-10-01,1022160
2019-11-01,1024260
2019-12-01,1038600
2020-01-01,1123860
2020-02-01,1176540
2020-03-01,1195140
2020-04-01,1082160
2020-05-01,1125930
2020-06-01,1177800
2020-07-01,1230540
2020-08-01,1136520
2020-09-01,1164690
2020-10-01,1106730
2020-11-01,1107450
2020-12-01,1259250
2021-01-01,1306710
2021-02-01,1210770
2021-03-01,1297350
2021-04-01,1175190
2021-05-01,1035150
2021-06-01,1025130
2021-07-01,1015800
2021-08-01,854700
2021-09-01,856650
2021-10-01,598140
2021-11-01,667620
2021-12-01,565770
2022-01-01,480600
2022-02-01,418260
2022-03-01,301680
2022-04-01,338550
2022-05-01,350940
2022-06-01,374610
2022-07-01,333930
2022-08-01,328440
2022-09-01,335280
2022-10-01,365220
2022-11-01,353580
2022-12-01,336240
2023-01-01,358500
2023-02-01,350340
2023-03-01,369120
2023-04-01,334800
2023-05-01,343320
2023-06-01,222690
2023-07-01,320700
2023-08-01,358530
2023-09-01,358470
2023-10-01,353760
2023-11-01,349350
2023-12-01,324870
2024-01-01,346710
2024-02-01,349050
2024-03-01,339870
