date,consumption
2015-08-01,7977420
2015-09-01,7845660
2015-10-01,8162700
2015-11-01,8512620
2015-12-01,8015280
2016-01-01,8081880
2016-02-01,8745120
2016-03-01,8547360
2016-04-01,8203020
2016-05-01,8757540
2016-06-01,8337120
2016-07-01,8402340
2016-08-01,8850600
2016-09-01,8144640
2016-10-01,8158920
2016-11-01,8632200
2016-12-01,8537580
2017-01-01,9078000
2017-02-01,8704500
2017-03-01,8585760
2017-04-01,9891900
2017-05-01,9315240
2017-06-01,9576120
2017-07-01,9147660
2017-08-01,9636120
2017-09-01,10045200
2017-10-01,9683640
2017-11-01,10455900
2017-12-01,10200180
2018-01-01,10477740
2018-02-01,10492800
2018-03-01,11709480
2018-04-01,10548480
2018-05-01,9774720
2018-06-01,10183320
2018-07-01,9046920
2018-08-01,9240300
2018-09-01,8125080
2018-10-01,8018640
2018-11-01,8184900
2018-12-01,8002980
2019-01-01,7457580
2019-02-01,7057680
2019-03-01,6679920
2019-04-01,6528900
2019-05-01,6705600
2019-06-01,6798240
2019-07-01,7109400
2019-08-01,7035240
2019-09-01,6882660
2019-10-01,7130520
2019-11-01,7053600
2019-12-01,7049700
2020-01-01,7330440
2020-02-01,7456380
2020-03-01,7488360
2020-04-01,7172160
2020-05-01,7277040
2020-06-01,7402440
2020-07-01,7528800
2020-08-01,7269300
2020-09-01,7331160
2020-10-01,7169340
2020-11-01,7160400
2020-12-01,7539180
2021-01-01,7647780
2021-02-01,7391520
2021-03-01,7598760
2021-04-01,7189680
2021-05-01,6727380
2021-06-01,6609300
2021-07-01,6503400
2021-08-01,5969700
2021-09-01,5910000
2021-10-01,5046360
2021-11-01,5217480
2021-12-01,4835400
2022-01-01,4469520
2022-02-01,4269300
2022-03-01,3568500
2022-04-01,3941220
2022-05-01,4079220
2022-06-01,4328160
2022-07-01,3948000
2022-08-01,3910920
2022-09-01,3995520
2022-10-01,4309620
2022-11-01,4211760
2022-12-01,4056000
2023-01-01,4296540
2023-02-01,4232160
2023-03-01,4439460
2023-04-01,4106880
2023-05-01,4208100
2023-06-01,4215780
2023-07-01,4005720
2023-08-01,4408200
2023-09-01,4422720
2023-10-01,4388760
2023-11-01,4357800
2023-12-01,4117800
2024-01-01,4359660
2024-02-01,4398540
2024-03-01,4316700
