date,consumption
2015-08-01,2796018
2015-09-01,2769108
2015-10-01,2860878
2015-11-01,2961480
2015-12-01,2837694
2016-01-01,2862948
2016-02-01,3046764
2016-03-01,3002190
2016-04-01,2417484
2016-05-01,3034482
2016-06-01,2969760
2016-07-01,2994738
2016-08-01,3085128
2016-09-01,2911248
2016-10-01,2953062
2016-11-01,3086784
2016-12-01,3069258
2017-01-01,3221196
2017-02-01,3129150
2017-03-01,3105000
2017-04-01,3250314
2017-05-01,2964240
2017-06-01,2861016
2017-07-01,2609718
2017-08-01,2554794
2017-09-01,2476272
2017-10-01,2258232
2017-11-01,2234772
2017-12-01,2043366
2018-01-01,1934760
2018-02-01,1789860
2018-03-01,1787790
2018-04-01,1698780
2018-05-01,1651170
2018-06-01,1753290
2018-07-01,1653930
2018-08-01,1733418
2018-09-01,1627020
2018-10-01,1665246
2018-11-01,1750392
2018-12-01,1784616
2019-01-01,1766814
2019-02-01,1747356
2019-03-01,1736868
2019-04-01,1642752
2019-05-01,1720032
2019-06-01,1753290
2019-07-01,1900536
2019-08-01,1846716
2019-09-01,1665108
2019-10-01,1866312
2019-11-01,1811250
2019-12-01,1794414
2020-01-01,1924962
2020-02-01,1975056
2020-03-01,1976574
2020-04-01,2250504
2020-05-01,1876524
2020-06-01,1946490
2020-07-01,2017284
2020-08-01,1885908
2020-09-01,1922754
2020-10-01,1841610
2020-11-01,1840920
2020-12-01,2046678
2021-01-01,2109468
2021-02-01,1976988
2021-03-01,2092908
2021-04-01,1959876
2021-05-01,1797312
2021-06-01,1821738
2021-07-01,1854030
2021-08-01,1651032
2021-09-01,1710234
2021-10-01,1319418
2021-11-01,1510134
2021-12-01,1388832
2022-01-01,1295268
2022-02-01,1252764
2022-03-01,1062186
2022-04-01,1384692
2022-05-01,1413948
2022-06-01,1569612
2022-07-01,1159062
2022-08-01,990840
2022-09-01,1165134
2022-10-01,1252626
2022-11-01,1220196
2022-12-01,1171206
2023-01-01,1255248
2023-02-01,1217712
2023-03-01,1304790
2023-04-01,1139328
2023-05-01,1171482
2023-06-01,1161546
2023-07-01,1055286
2023-08-01,1219644
2023-09-01,1212192
2023-10-01,1184040
2023-11-01,1157544
2023-12-01,1042452
2024-01-01,1132290
2024-02-01,1135740
2024-03-01,1089234
