date,consumption
2015-08-01,0
2015-09-01,0
2015-10-01,0
2015-11-01,0
2015-12-01,0
2016-01-01,0
2016-02-01,0
2016-03-01,0
2016-04-01,0
2016-05-01,0
2016-06-01,0
2016-07-01,0
2016-08-01,0
2016-09-01,0
2016-10-01,0
2016-11-01,0
2016-12-01,0
2017-01-01,0
2017-02-01,0
2017-03-01,0
2017-04-01,2640
2017-05-01,4860
2017-06-01,7380
2017-07-01,9120
2017-08-01,11940
2017-09-01,14820
2017-10-01,16260
2017-11-01,20100
2017-12-01,21540
2018-01-01,24300
2018-02-01,26280
2018-03-01,32340
2018-04-01,34560
2018-05-01,37500
2018-06-01,46440
2018-07-01,46560
2018-08-01,55200
2018-09-01,53760
2018-10-01,60300
2018-11-01,70260
2018-12-01,77340
2019-01-01,80220
2019-02-01,84120
2019-03-01,88260
2019-04-01,90120
2019-05-01,101220
2019-06-01,110160
2019-07-01,126780
2019-08-01,130380
2019-09-01,123840
2019-10-01,145920
2019-11-01,148380
2019-12-01,153600
2020-01-01,171840
2020-02-01,183420
2020-03-01,190620
2020-04-01,174600
2020-05-01,179460
2020-06-01,225660
2020-07-01,191340
2020-08-01,178140
2020-09-01,180900
2020-10-01,172560
2020-11-01,171780
2020-12-01,190200
2021-01-01,195300
2021-02-01,182280
2021-03-01,192180
2021-04-01,187200
2021-05-01,178800
2021-06-01,189000
2021-07-01,200820
2021-08-01,187020
2021-09-01,202980
2021-10-01,164340
2021-11-01,197820
2021-12-01,191700
2022-01-01,188880
2022-02-01,193500
2022-03-01,174300
2022-04-01,192240
2022-05-01,198720
2022-06-01,210660
2022-07-01,173160
2022-08-01,189900
2022-09-01,193740
2022-10-01,208740
2022-11-01,203820
2022-12-01,196020
2023-01-01,207480
2023-02-01,204060
2023-03-01,213900
2023-04-01,197160
2023-05-01,201360
2023-06-01,201060
2023-07-01,190380
2023-08-01,208860
2023-09-01,208860
2023-10-01,206520
2023-11-01,204420
2023-12-01,192540
2024-01-01,203160
2024-02-01,204360
2024-03-01,199920
