date,consumption
2015-08-01,336219
2015-09-01,329004
2015-10-01,345321
2015-11-01,363414
2015-12-01,336885
2016-01-01,339993
2016-02-01,374625
2016-03-01,363858
2016-04-01,0
2016-05-01,366411
2016-06-01,351648
2016-07-01,354756
2016-08-01,370740
2016-09-01,334221
2016-10-01,340548
2016-11-01,365301
2016-12-01,359862
2017-01-01,388278
2017-02-01,367854
2017-03-01,361194
2017-04-01,402819
2017-05-01,357975
2017-06-01,349983
2017-07-01,311577
2017-08-01,313464
2017-09-01,310578
2017-10-01,278610
2017-11-01,287712
2017-12-01,260961
2018-01-01,251970
2018-02-01,235209
2018-03-01,250416
2018-04-01,236319
2018-05-01,230880
2018-06-01,261294
2018-07-01,242535
2018-08-01,268287
2018-09-01,246087
2018-10-01,261405
2018-11-01,290043
2018-12-01,305472
2019-01-01,304362
2019-02-01,307359
2019-03-01,311577
2019-04-01,296481
2019-05-01,312132
2019-06-01,320013
2019-07-01,348762
2019-08-01,340770
2019-09-01,308913
2019-10-01,347985
2019-11-01,339549
2019-12-01,337995
2020-01-01,364413
2020-02-01,375735
2020-03-01,836940
2020-04-01,348207
2020-05-01,360195
2020-06-01,374403
2020-07-01,388722
2020-08-01,363969
2020-09-01,371961
2020-10-01,356976
2020-11-01,357420
2020-12-01,398046
2021-01-01,411033
2021-02-01,385947
2021-03-01,409257
2021-04-01,390387
2021-05-01,364968
2021-06-01,377622
2021-07-01,392829
2021-08-01,357753
2021-09-01,379731
2021-10-01,300699
2021-11-01,353646
2021-12-01,334887
2022-01-01,488400
2022-02-01,495837
2022-03-01,283383
2022-04-01,311577
2022-05-01,488511
2022-06-01,338994
2022-07-01,154068
2022-08-01,303585
2022-09-01,308691
2022-10-01,331557
2022-11-01,322566
2022-12-01,309246
2023-01-01,326229
2023-02-01,319902
2023-03-01,334110
2023-04-01,306249
2023-05-01,310911
2023-06-01,308580
2023-07-01,290487
2023-08-01,316905
2023-09-01,315018
2023-10-01,309690
2023-11-01,304695
2023-12-01,285270
2024-01-01,299256
2024-02-01,299256
2024-03-01,290931
