date,consumption
2015-08-01,441240
2015-09-01,436500
2015-10-01,453000
2015-11-01,471090
2015-12-01,448890
2016-01-01,453480
2016-02-01,486600
2016-03-01,478590
2016-04-01,370200
2016-05-01,484470
2016-06-01,472740
2016-07-01,477270
2016-08-01,493620
2016-09-01,462030
2016-10-01,469560
2016-11-01,493860
2016-12-01,490620
2017-01-01,518280
2017-02-01,501420
2017-03-01,496980
2017-04-01,586500
2017-05-01,591240
2017-06-01,633990
2017-07-01,638040
2017-08-01,693690
2017-09-01,745710
2017-10-01,750960
2017-11-01,826650
2017-12-01,837240
2018-01-01,882180
2018-02-01,909600
2018-03-01,1020570
2018-04-01,964650
2018-05-01,933540
2018-06-01,992250
2018-07-01,930090
2018-08-01,975270
2018-09-01,908640
2018-10-01,929040
2018-11-01,977670
2018-12-01,995730
2019-01-01,978750
2019-02-01,970650
2019-03-01,965640
2019-04-01,955470
2019-05-01,1008420
2019-06-01,1045590
2019-07-01,1128060
2019-08-01,1131720
2019-09-01,1081530
2019-10-01,1189170
2019-11-01,1190220
2019-12-01,1206750
2020-01-01,1308270
2020-02-01,1369800
2020-03-01,1516650
2020-04-01,1263570
2020-05-01,1313010
2020-06-01,1391820
2020-07-01,1431270
2020-08-01,1323960
2020-09-01,1355670
2020-10-01,1289490
2020-11-01,1289940
2020-12-01,1461930
2021-01-01,1515450
2021-02-01,1406220
2021-03-01,1504050
2021-04-01,1374300
2021-05-01,1223190
2021-06-01,1221690
2021-07-01,1222380
2021-08-01,1044900
2021-09-01,1060770
2021-10-01,761580
2021-11-01,862110
2021-12-01,752130
2022-01-01,707040
2022-02-01,649020
2022-03-01,465420
2022-04-01,518880
2022-05-01,582330
2022-06-01,571560
2022-07-01,462150
2022-08-01,505440
2022-09-01,515580
2022-10-01,559200
2022-11-01,542670
2022-12-01,517830
2023-01-01,550410
2023-02-01,538830
2023-03-01,566370
2023-04-01,516150
2023-05-01,528030
2023-06-01,406620
2023-07-01,494400
2023-08-01,548610
2023-09-01,548040
2023-10-01,540720
2023-11-01,533910
2023-12-01,498240
2024-01-01,529170
2024-02-01,532110
2024-03-01,518460
