month,year,patients
august,2015,25225
september,2015,25440
october,2015,25655
november,2015,25870
december,2015,26085
january,2016,26300
february,2016,26515
march,2016,26730
april,2016,26945
may,2016,27160
june,2016,27374
july,2016,27589
august,2016,27804
september,2016,28019
october,2016,28234
november,2016,28449
december,2016,28664
january,2017,28879
february,2017,29094
march,2017,29309
april,2017,29713
may,2017,30118
june,2017,30522
july,2017,30926
august,2017,31330
september,2017,31734
october,2017,32139
november,2017,32543
december,2017,32947
january,2018,33352
february,2018,33756
march,2018,34160
april,2018,32948
may,2018,31736
june,2018,30525
july,2018,29313
august,2018,28101
september,2018,26890
october,2018,25678
november,2018,24466
december,2018,23254
january,2019,22042
february,2019,20831
march,2019,19619
april,2019,19702
may,2019,19786
june,2019,19869
july,2019,19953
august,2019,20036
september,2019,20120
october,2019,20203
november,2019,20286
december,2019,20370
january,2020,20453
february,2020,20537
march,2020,20620
april,2020,20621
may,2020,20622
june,2020,20622
july,2020,20623
august,2020,20624
september,2020,20625
october,2020,20626
november,2020,20627
december,2020,20628
january,2021,20628
february,2021,20629
march,2021,20630
april,2021,20075
may,2021,19521
june,2021,18966
july,2021,18411
august,2021,17857
september,2021,17302
october,2021,16747
november,2021,16193
december,2021,15638
january,2022,15083
february,2022,14529
march,2022,13974
april,2022,14074
may,2022,14175
june,2022,14276
july,2022,14376
august,2022,14476
september,2022,14577
october,2022,14678
november,2022,14778
december,2022,14878
january,2023,14979
february,2023,15080
march,2023,15180
april,2023,15274
may,2023,15369
june,2023,15464
july,2023,15558
august,2023,15652
september,2023,15747
october,2023,15842
november,2023,15936
december,2023,16030
january,2024,16125
february,2024,16220
march,2024,16314
