month,year,patients
august,2015,27344
september,2015,27598
october,2015,27853
november,2015,28107
december,2015,28362
january,2016,28616
february,2016,28871
march,2016,29125
april,2016,29379
may,2016,29634
june,2016,29888
july,2016,30143
august,2016,30397
september,2016,30651
october,2016,30906
november,2016,31160
december,2016,31415
january,2017,31669
february,2017,31924
march,2017,32178
april,2017,30893
may,2017,29607
june,2017,28322
july,2017,27036
august,2017,25751
september,2017,24466
october,2017,23180
november,2017,21895
december,2017,20609
january,2018,19324
february,2018,18038
march,2018,16753
april,2018,17626
may,2018,18500
june,2018,19373
july,2018,20247
august,2018,21120
september,2018,21994
october,2018,22867
november,2018,23740
december,2018,24614
january,2019,25487
february,2019,26361
march,2019,27234
april,2019,27385
may,2019,27536
june,2019,27686
july,2019,27837
august,2019,27988
september,2019,28139
october,2019,28290
november,2019,28441
december,2019,28592
january,2020,28742
february,2020,28893
march,2020,29044
april,2020,29174
may,2020,29303
june,2020,29432
july,2020,29562
august,2020,29692
september,2020,29821
october,2020,29950
november,2020,30080
december,2020,30210
january,2021,30339
february,2021,30468
march,2021,30598
april,2021,30525
may,2021,30452
june,2021,30380
july,2021,30307
august,2021,30234
september,2021,30162
october,2021,30089
november,2021,30016
december,2021,29943
january,2022,29870
february,2022,29798
march,2022,29725
april,2022,29801
may,2022,29876
june,2022,29952
july,2022,30028
august,2022,30103
september,2022,30179
october,2022,30255
november,2022,30330
december,2022,30406
january,2023,30482
february,2023,30557
march,2023,30633
april,2023,30540
may,2023,30447
june,2023,30354
july,2023,30261
august,2023,30168
september,2023,30075
october,2023,29982
november,2023,29889
december,2023,29796
january,2024,29703
february,2024,29610
march,2024,29517
