month,year,patients
august,2015,11508
september,2015,11634
october,2015,11760
november,2015,11886
december,2015,12012
january,2016,12138
february,2016,12264
march,2016,12390
april,2016,12516
may,2016,12642
june,2016,12767
july,2016,12893
august,2016,13019
september,2016,13145
october,2016,13271
november,2016,13397
december,2016,13523
january,2017,13649
february,2017,13775
march,2017,13901
april,2017,15208
may,2017,16514
june,2017,17821
july,2017,19127
august,2017,20434
september,2017,21740
october,2017,23047
november,2017,24354
december,2017,25660
january,2018,26967
february,2018,28273
march,2018,29580
april,2018,29462
may,2018,29344
june,2018,29226
july,2018,29108
august,2018,28990
september,2018,28872
october,2018,28754
november,2018,28636
december,2018,28518
january,2019,28400
february,2019,28282
march,2019,28164
april,2019,28961
may,2019,29758
june,2019,30556
july,2019,31353
august,2019,32150
september,2019,32947
october,2019,33744
november,2019,34541
december,2019,35338
january,2020,36136
february,2020,36933
march,2020,37730
april,2020,37985
may,2020,38240
june,2020,38495
july,2020,38750
august,2020,39005
september,2020,39260
october,2020,39514
november,2020,39769
december,2020,40024
january,2021,40279
february,2021,40534
march,2021,40789
april,2021,38341
may,2021,35894
june,2021,33446
july,2021,30999
august,2021,28551
september,2021,26104
october,2021,23656
november,2021,21208
december,2021,18761
january,2022,16313
february,2022,13866
march,2022,11418
april,2022,11436
may,2022,11453
june,2022,11470
july,2022,11488
august,2022,11506
september,2022,11523
october,2022,11540
november,2022,11558
december,2022,11576
january,2023,11593
february,2023,11610
march,2023,11628
april,2023,11651
may,2023,11674
june,2023,11696
july,2023,11719
august,2023,11742
september,2023,11765
october,2023,11788
november,2023,11811
december,2023,11834
january,2024,11856
february,2024,11879
march,2024,11902
