month,year,patients
august,2015,130367
september,2015,131488
october,2015,132609
november,2015,133730
december,2015,134851
january,2016,135971
february,2016,137092
march,2016,138213
april,2016,139334
may,2016,140455
june,2016,141576
july,2016,142697
august,2016,143818
september,2016,144939
october,2016,146060
november,2016,147180
december,2016,148301
january,2017,149422
february,2017,150543
march,2017,151664
april,2017,154167
may,2017,156669
june,2017,159172
july,2017,161675
august,2017,164177
september,2017,166680
october,2017,169183
november,2017,171685
december,2017,174188
january,2018,176691
february,2018,179193
march,2018,181696
april,2018,175903
may,2018,170109
june,2018,164316
july,2018,158523
august,2018,152729
september,2018,146936
october,2018,141143
november,2018,135349
december,2018,129556
january,2019,123763
february,2019,117969
march,2019,112176
april,2019,112992
may,2019,113808
june,2019,114624
july,2019,115439
august,2019,116255
september,2019,117071
october,2019,117887
november,2019,118703
december,2019,119518
january,2020,120334
february,2020,121150
march,2020,121966
april,2020,122098
may,2020,122229
june,2020,122361
july,2020,122493
august,2020,122624
september,2020,122756
october,2020,122888
november,2020,123019
december,2020,123151
january,2021,123283
february,2021,123414
march,2021,123546
april,2021,118754
may,2021,113961
june,2021,109169
july,2021,104377
august,2021,99584
september,2021,94792
october,2021,90000
november,2021,85207
december,2021,80415
january,2022,75623
february,2022,70830
march,2022,66038
april,2022,66416
may,2022,66794
june,2022,67172
july,2022,67550
august,2022,67928
september,2022,68306
october,2022,68683
november,2022,69061
december,2022,69439
january,2023,69817
february,2023,70195
march,2023,70573
april,2023,70938
may,2023,71303
june,2023,71668
july,2023,72033
august,2023,72398
september,2023,72762
october,2023,73127
november,2023,73492
december,2023,73857
january,2024,74222
february,2024,74587
march,2024,74952
