month,year,patients
august,2015,19964
september,2015,20150
october,2015,20336
november,2015,20522
december,2015,20708
january,2016,20893
february,2016,21079
march,2016,21265
april,2016,21451
may,2016,21637
june,2016,21823
july,2016,22009
august,2016,22195
september,2016,22381
october,2016,22567
november,2016,22752
december,2016,22938
january,2017,23124
february,2017,23310
march,2017,23496
april,2017,22561
may,2017,21626
june,2017,20690
july,2017,19755
august,2017,18820
september,2017,17884
october,2017,16949
november,2017,16014
december,2017,15079
january,2018,14144
february,2018,13208
march,2018,12273
april,2018,12315
may,2018,12357
june,2018,12399
july,2018,12441
august,2018,12483
september,2018,12526
october,2018,12568
november,2018,12610
december,2018,12652
january,2019,12694
february,2019,12736
march,2019,12778
april,2019,12854
may,2019,12929
june,2019,13005
july,2019,13081
august,2019,13156
september,2019,13232
october,2019,13308
november,2019,13383
december,2019,13459
january,2020,13535
february,2020,13610
march,2020,13686
april,2020,13749
may,2020,13812
june,2020,13875
july,2020,13938
august,2020,14001
september,2020,14064
october,2020,14126
november,2020,14189
december,2020,14252
january,2021,14315
february,2021,14378
march,2021,14441
april,2021,13950
may,2021,13458
june,2021,12967
july,2021,12476
august,2021,11985
september,2021,11494
october,2021,11002
november,2021,10511
december,2021,10020
january,2022,9528
february,2022,9037
march,2022,8546
april,2022,8565
may,2022,8584
june,2022,8603
july,2022,8622
august,2022,8641
september,2022,8660
october,2022,8680
november,2022,8699
december,2022,8718
january,2023,8737
february,2023,8756
march,2023,8775
april,2023,8747
may,2023,8718
june,2023,8690
july,2023,8661
august,2023,8633
september,2023,8604
october,2023,8576
november,2023,8548
december,2023,8519
january,2024,8491
february,2024,8462
march,2024,8434
