month,year,patients
august,2015,0
september,2015,0
october,2015,0
november,2015,0
december,2015,0
january,2016,0
february,2016,0
march,2016,0
april,2016,0
may,2016,0
june,2016,0
july,2016,0
august,2016,0
september,2016,0
october,2016,0
november,2016,0
december,2016,0
january,2017,0
february,2017,0
march,2017,0
april,2017,41
may,2017,82
june,2017,123
july,2017,164
august,2017,205
september,2017,246
october,2017,288
november,2017,329
december,2017,370
january,2018,411
february,2018,452
march,2018,493
april,2018,576
may,2018,660
june,2018,743
july,2018,826
august,2018,910
september,2018,993
october,2018,1076
november,2018,1160
december,2018,1243
january,2019,1326
february,2019,1410
march,2019,1493
april,2019,1622
may,2019,1750
june,2019,1879
july,2019,2007
august,2019,2136
september,2019,2264
october,2019,2393
november,2019,2522
december,2019,2650
january,2020,2779
february,2020,2907
march,2020,3036
april,2020,3037
may,2020,3038
june,2020,3040
july,2020,3041
august,2020,3042
september,2020,3043
october,2020,3044
november,2020,3045
december,2020,3046
january,2021,3048
february,2021,3049
march,2021,3050
april,2021,3065
may,2021,3079
june,2021,3094
july,2021,3108
august,2021,3123
september,2021,3138
october,2021,3152
november,2021,3167
december,2021,3181
january,2022,3196
february,2022,3210
march,2022,3225
april,2022,3240
may,2022,3254
june,2022,3269
july,2022,3283
august,2022,3298
september,2022,3312
october,2022,3327
november,2022,3342
december,2022,3356
january,2023,3371
february,2023,3385
march,2023,3400
april,2023,3406
may,2023,3412
june,2023,3418
july,2023,3424
august,2023,3430
september,2023,3436
october,2023,3441
november,2023,3447
december,2023,3453
january,2024,3459
february,2024,3465
march,2024,3471
