month,year,patients
august,2015,2956
september,2015,2985
october,2015,3013
november,2015,3042
december,2015,3071
january,2016,3099
february,2016,3128
march,2016,3157
april,2016,3185
may,2016,3214
june,2016,3243
july,2016,3272
august,2016,3300
september,2016,3329
october,2016,3358
november,2016,3386
december,2016,3415
january,2017,3444
february,2017,3472
march,2017,3501
april,2017,3381
may,2017,3262
june,2017,3142
july,2017,3022
august,2017,2903
september,2017,2783
october,2017,2663
november,2017,2544
december,2017,2424
january,2018,2304
february,2018,2185
march,2018,2065
april,2018,2130
may,2018,2196
june,2018,2261
july,2018,2327
august,2018,2392
september,2018,2458
october,2018,2523
november,2018,2588
december,2018,2654
january,2019,2719
february,2019,2785
march,2019,2850
april,2019,2884
may,2019,2917
june,2019,2951
july,2019,2984
august,2019,3018
september,2019,3052
october,2019,3085
november,2019,3119
december,2019,3152
january,2020,3186
february,2020,3219
march,2020,3253
april,2020,3274
may,2020,3296
june,2020,3318
july,2020,3339
august,2020,3360
september,2020,3382
october,2020,3404
november,2020,3425
december,2020,3446
january,2021,3468
february,2021,3490
march,2021,3511
april,2021,3455
may,2021,3398
june,2021,3342
july,2021,3286
august,2021,3229
september,2021,3173
october,2021,3117
november,2021,3060
december,2021,3004
january,2022,2948
february,2022,2891
march,2022,2835
april,2022,2838
may,2022,2841
june,2022,2844
july,2022,2847
august,2022,2850
september,2022,2853
october,2022,2856
november,2022,2859
december,2022,2862
january,2023,2865
february,2023,2868
march,2023,2871
april,2023,2859
may,2023,2848
june,2023,2836
july,2023,2824
august,2023,2813
september,2023,2801
october,2023,2789
november,2023,2778
december,2023,2766
january,2024,2754
february,2024,2743
march,2024,2731
